cte, steering
0.7599,-1
0.7599,-0.22797
0.76,-0.23
0.7601,-0.23003
0.7602,-0.23006
0.7605,-0.23415
0.7607,-0.23221
0.7611,-0.23633
0.7613,-0.23239
0.7618,-0.23854
0.7621,-0.23463
0.7628,-0.24284
0.7632,-0.23696
0.764,-0.2452
0.7644,-0.23732
0.7654,-0.24962
0.7665,-0.25195
0.767,-0.2401
0.7676,-0.24228
0.7689,-0.25667
0.7702,-0.25706
0.7709,-0.24527
0.7724,-0.26172
0.7732,-0.24796
0.7749,-0.26647
0.7758,-0.25074
0.7777,-0.27131
0.7786,-0.25158
0.7796,-0.25388
0.7807,-0.25621
0.7818,-0.25654
0.7842,-0.28326
0.7854,-0.25962
0.7865,-0.25795
0.7891,-0.28873
0.7905,-0.26515
0.7918,-0.26354
0.7947,-0.29641
0.7978,-0.30134
0.7993,-0.26979
0.8266,-0.79398
0.8291,-0.29873
0.8285,-0.23655
0.83,-0.279
0.832,-0.2896
0.8366,-0.34298
0.8391,-0.30173
0.8439,-0.34917
0.8465,-0.30595
0.8539,-0.40417
0.8562,-0.30286
0.8608,-0.35024
0.8634,-0.31102
0.8688,-0.36864
0.8716,-0.31748
0.8771,-0.37313
0.8828,-0.37884
0.8856,-0.32168
0.8914,-0.38342
0.8946,-0.33238
0.8977,-0.33131
0.9043,-0.40329
0.9077,-0.34031
0.9113,-0.34539
0.9199,-0.44797
0.9301,-0.48303
0.9355,-0.38865
0.9477,-0.52831
0.9682,-0.70046
0.9536,0.00592
0.9599,-0.41397
0.9738,-0.57014
0.9796,-0.40988
0.9895,-0.49485
0.9999,-0.50797
1.0051,-0.40553
1.016,-0.5228
1.0278,-0.54434
1.0334,-0.42202
1.0446,-0.53738
1.0506,-0.43518
1.0622,-0.55066
1.0683,-0.44249
1.0797,-0.55191
1.0856,-0.44368
1.0911,-0.43733
1.0968,-0.44304
1.1086,-0.56858
1.1147,-0.45641
1.1201,-0.44403
1.1257,-0.44971
1.1373,-0.57319
1.1484,-0.56652
1.1532,-0.44196
1.1577,-0.43731
1.1676,-0.54828
1.1729,-0.45787
1.1824,-0.54472
1.1871,-0.45013
1.1962,-0.54086
